CODIGO,CAT,NOMBRE,MUNICIPIO,DEPARTAMENTO,ELEV,LONGITUD,LATITUD,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC,ANUAL
25020540,PM,Patio Bonito,Nechi,Antioquia,53,"74°42'22.0""W","8°1'52.0""N",5,6,6,12,18,16,16,17,15,17,17,9,154
12025030,CO,Mellito El,Necocli,Antioquia,10,"76°40'21.2""W","8°32'34.6""N",6,5,8,12,15,14,14,16,14,15,14,10,143
26230010,PM,Olaya,Olaya,Antioquia,575,"75°48'39.2""W","6°37'43.4""N",2,3,5,9,12,10,9,9,10,11,8,4,92
23085110,CO,Penol El,Penol,Antioquia,1956,"75°14'28.8""W","6°12'51.3""N",15,15,20,24,23,19,19,20,24,25,23,19,244
26220050,PG,Cumbre La,Peque,Antioquia,2440,"75°56'0.0""W","7°2'0.0""N",10,12,14,21,24,21,20,19,23,26,20,13,223
26170150,PM,Pueblorrico,Pueblorrico,Antioquia,1785,"75°50'19.7""W","5°47'27.8""N",9,8,13,16,18,16,13,14,18,20,17,11,174
23095010,CP,Apto Pto Berrio,Puerto Berrio,Antioquia,150,"74°24'44.0""W","6°27'54.0""N",7,10,13,19,20,18,18,20,21,20,16,11,192
23090110,PM,Murillo,Puerto Berrio,Antioquia,130,"74°23'43.0""W","6°36'11.0""N",4,5,8,14,15,12,12,14,15,15,12,6,131
23090100,PG,San Juan Beduth,Puerto Berrio,Antioquia,150,"74°27'0.0""W","6°36'0.0""N",2,4,5,10,10,9,9,10,10,11,7,4,92
23090020,PM,Virginias,Puerto Berrio,Antioquia,639,"74°40'54.5""W","6°23'36.8""N",6,7,10,14,15,12,13,13,16,15,12,8,141
23080720,PM,Canteras,Puerto Nare,Antioquia,125,"74°40'42.0""W","6°16'47.9""N",5,7,8,13,14,10,11,12,14,14,11,7,125
23175020,SS,Apto Otu,Remedios,Antioquia,718,"74°42'58.6""W","7°0'42.1""N",9,10,11,18,19,18,18,20,20,21,18,12,193
27030080,PM,Cruzada La,Remedios,Antioquia,650,"74°42'54.2""W","7°4'5.0""N",6,7,9,14,15,13,12,13,14,16,13,8,141
23085200,SP,A.J M Cordova,Rionegro,Antioquia,2073,"75°25'33.0""W","6°10'7.0""N",15,15,19,23,24,21,20,20,24,25,22,17,244
23085040,AM,Selva La,Rionegro,Antioquia,2090,"75°24'53.0""W","6°7'54.0""N",14,16,19,21,24,20,19,20,23,24,21,16,237
26230200,PG,Sabanalarga,Sabanalarga,Antioquia,1000,"75°48'53.3""W","6°50'45.6""N",6,7,10,17,21,18,17,17,20,19,16,9,179
26210110,PM,Penalisa,Salgar,Antioquia,586,"75°51'40.1""W","5°56'5.4""N",8,7,11,15,19,16,14,14,17,18,15,10,163
26230240,PM,Abertura La,San Andres de Cuerquia,Antioquia,2550,"75°42'17.4""W","6°54'0.7""N",9,10,14,21,22,18,16,18,18,23,20,13,202
26230130,PM,Cruces Arriba,San Andres de Cuerquia,Antioquia,2830,"75°36'34.6""W","6°53'13.9""N",6,9,11,18,21,16,16,15,19,23,18,9,182
26230110,PM,San Andres,San Andres de Cuerquia,Antioquia,1600,"75°40'11.5""W","6°54'35.4""N",6,6,10,18,21,16,14,15,17,20,16,9,166
23080810,PG,Jordan El,San Carlos,Antioquia,858,"74°49'41.2""W","6°14'58.2""N",10,11,15,20,21,18,16,17,21,22,18,12,200
23080800,PG,Patio Bonito,San Carlos,Antioquia,975,"74°54'0.0""W","6°11'0.0""N",12,11,15,22,22,17,16,20,21,23,20,13,211
23085220,CP,San Carlos,San Carlos,Antioquia,1113,"75°2'20.1""W","6°9'27.6""N",16,15,20,24,25,20,19,21,24,26,25,21,257
23085140,CO,San Francisco,San Francisco,Antioquia,1306,"75°6'2.8""W","5°57'49.2""N",17,17,20,23,23,19,18,20,23,25,25,21,250
26230180,PM,Llanos de San Juan,San Jeronimo,Antioquia,1600,"75°43'3.9""W","6°25'37.2""N",4,5,8,12,13,11,10,11,13,14,13,6,121
12030010,PM,San Juan de Uraba,San Juan De Uraba,Antioquia,4,"76°31'59.9""W","8°45'18.8""N",3,2,3,6,10,9,9,10,9,10,9,5,84
23085210,CP,Violetas Las,San Rafael,Antioquia,1016,"75°0'10.0""W","6°20'56.0""N",13,14,17,22,23,20,19,20,23,25,23,17,237
23085080,CP,Nus Gja Exp El,San Roque,Antioquia,835,"74°50'12.0""W","6°29'9.0""N",10,12,14,22,24,20,20,22,22,24,19,14,223
23080760,PM,San Roque,San Roque,Antioquia,1412,"75°1'1.2""W","6°29'15.0""N",9,11,13,20,21,17,17,19,21,23,19,13,202
23085160,CO,Corrientes,San Vicente,Antioquia,1950,"75°15'12.7""W","6°18'42.8""N",13,14,17,23,22,19,18,20,21,23,21,16,226
