,cod,lon,lat,ele,sun,hum,pre,rai,nam,mun,dep,N
1814,38015030,67.4911111111,-6.18222222222,50,3,2,9,5,Apto Pto Carreno,Puerto Carreno,Vichada,4
1815,38020020,67.8341666667,-4.95694444444,79,0,0,9,5,Pto Narino,Cumaribo,Vichada,2
1816,38030010,67.8588888889,-4.54583333333,88,0,0,9,5,Mataven,Cumaribo,Vichada,2
1817,42040010,71.0405555556,-0.870277777778,200,0,0,1,2,Yurupari,Mitu,Vaupes,2
1818,42050020,70.7347222222,-1.10055555556,190,0,0,1,2,Mandi,Mitu,Vaupes,2
1819,42060010,70.7761111111,-0.905,195,0,0,1,2,Cerros Los,Mitu,Vaupes,2
1820,42070010,70.7094444444,-1.21166666667,185,0,0,4,2,San Antonio,Mitu,Vaupes,2
1821,42070020,70.2930555556,-1.31222222222,185,0,0,1,2,Pituna,Mitu,Vaupes,2
1822,42070030,69.9105555556,-0.993611111111,175,0,0,1,2,Villafatima,Mitu,Vaupes,2
1823,42080010,69.9108333333,-1.19805555556,175,0,0,1,2,Pto Tolima,Mitu,Vaupes,2
1824,42080020,69.8438888889,-1.07388888889,172,0,0,1,2,Querari,Mitu,Vaupes,2
1825,44010020,76.6669444444,-1.08277777778,760,0,0,4,2,Pepino El,Mocoa,Putumayo,2
1826,44010030,76.6797222222,-1.20638888889,1400,0,0,9,2,Campucana,Mocoa,Putumayo,2
1827,44010040,76.8169444444,-1.20194444444,2300,0,0,1,0,Minchoy,San Francisco,Putumayo,1
1828,44010080,76.4411111111,-0.961388888889,500,0,0,1,2,Sta Lucia,Puerto Guzman,Putumayo,2
