CODIGO,CAT,NOMBRE,MUNICIPIO,DEPARTAMENTO,ELEV,LONGITUD,LATITUD,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC,ANUAL,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC,ANUAL
12025040,CO,Turbo,Turbo,Antioquia,37,"76°42'58.8""W","8°5'30.5""N",79.8,50,75.6,235.2,290.7,252.5,218.6,265.1,217.6,184,230.6,193.9,2293.5,5,5,7,13,17,15,16,17,15,14,14,10,147
11070130,PM,Brechon El,Urrao,Antioquia,2320,"76°2'0.0""W","6°8'0.0""N",97.5,131.3,188.4,313.2,344.3,284,217.6,261.5,319.6,317.9,262.7,167.5,2905.6,8,10,12,18,21,16,13,16,19,21,18,12,183
11070030,PM,Clarita La,Urrao,Antioquia,2150,"76°9'31.0""W","6°32'22.0""N",164.1,171.1,255,377.5,359.9,252.3,210.6,233.5,295.3,390.1,405.8,237.7,3352.9,13,12,16,21,21,16,14,16,19,23,22,16,208
11075010,CO,Honda La,Urrao,Antioquia,1850,"76°9'29.0""W","6°21'23.0""N",63.5,74.3,94.8,151.8,182.5,160.4,158.9,134.9,208.5,207.2,184.5,109.2,1730.6,16,15,19,22,24,21,21,20,23,23,23,19,248
11070020,PM,Roble El,Urrao,Antioquia,2050,"76°13'43.0""W","6°19'56.0""N",119,113.2,133.8,199.4,249.7,182.5,171.9,170.6,223.6,295.8,251.7,162.8,2273.9,13,12,14,19,22,18,17,18,21,24,22,17,217
11075020,CO,Urrao,Urrao,Antioquia,1850,"76°8'23.5""W","6°19'29.8""N",51.6,59.5,84,151.4,196.6,180.4,161.7,144.4,182.5,200,149.5,92.5,1654.2,11,12,15,21,23,20,18,17,22,24,21,15,219
26250060,PM,Pto Raudal,Valdivia,Antioquia,125,"75°19'39.4""W","7°22'11.7""N",158,165.3,236.3,496.3,588.4,531.9,549,540.4,627.3,582.6,508.8,307.2,5291.5,9,9,12,18,23,21,21,21,22,23,21,16,215
26240150,PM,Pto Valdivia,Valdivia,Antioquia,150,"75°23'47.5""W","7°17'9.7""N",159.3,207.1,240.3,448.9,528.7,524.2,532.7,537.3,527.2,529.2,404.3,213.5,4852.8,8,9,11,17,20,20,21,20,20,21,18,11,197
26255020,CP,Sta Isabel,Valdivia,Antioquia,1200,"75°26'32.2""W","7°9'26.2""N",332.8,414.7,410.7,356.2,392.6,408.2,346,405.1,497.1,399.1,466.3,436.9,4865.6,15,15,17,22,26,25,26,25,25,27,24,18,265
27020260,PM,Tesoro El,Valdivia,Antioquia,1000,"75°18'7.9""W","7°14'48.4""N",115,147.4,241.6,433.6,572.9,513.6,470,553.3,400.2,544.3,398.9,240.7,4631.5,8,8,12,19,22,20,20,20,19,21,19,11,200
23100030,PM,Tigre El,Vegachi,Antioquia,994,"74°47'8.4""W","6°50'25.7""N",35.9,76.9,121.8,252.7,297,224.9,259.7,274.6,318.5,286.6,230,82.3,2460.9,4,6,9,15,17,14,15,16,18,17,14,7,151
23105030,CO,Vegachi,Vegachi,Antioquia,995,"74°47'47.7""W","6°46'26.8""N",27.2,70.2,113.6,240.2,253.9,204,218.8,233.9,280.4,244.2,158.7,67.1,2112.1,7,8,12,21,23,19,19,21,22,22,18,11,202
26200130,PM,Bolombolo,Venecia,Antioquia,604,"75°50'32.0""W","5°58'4.0""N",62.4,63.9,111.5,185.6,241.2,207.7,172.2,175.8,215.4,188.7,183.5,96.6,1904.6,6,7,9,14,17,14,13,13,16,15,14,9,147
26205020,CP,Rosario El,Venecia,Antioquia,1600,"75°43'0.0""W","5°56'0.0""N",92.1,105.6,168.6,253.9,345.9,248.6,188.1,237.9,297.9,310.8,259,166.3,2674.7,14,15,16,22,23,17,15,18,21,25,22,17,224
11060010,PM,Buchado,Vigia del Fuerte,Antioquia,18,"76°46'45.4""W","6°25'12.0""N",302.6,223.2,270.4,470.2,504.1,506,486.1,484.6,415.8,505.4,500.8,396.1,5065.3,9,7,8,12,13,13,13,13,12,13,13,12,139
11070010,PM,Playa La-Murry,Vigia del Fuerte,Antioquia,22,"76°45'0.0""W","6°37'0.0""N",327.5,296.6,272.3,454.6,540.5,522.6,524.2,610.5,599.7,534.6,575.4,442.5,5701,12,10,10,16,19,18,19,20,20,20,20,17,202
27020200,PG,Cedeno,Yarumal,Antioquia,2400,"75°21'20.1""W","7°4'14.6""N",83.7,147.2,167.9,346.6,441.2,381.9,355.9,382.3,381.7,418.1,307,152.4,3565.9,10,13,14,21,25,22,22,22,22,25,21,15,231
27020220,PM,Llanos D Cuiba Los,Yarumal,Antioquia,2750,"75°29'1.9""W","6°48'49.0""N",83.8,139.8,164.1,340.4,346.9,252.6,291.9,278.2,351,363.8,263.1,150.7,3026.4,6,9,13,18,22,17,19,18,19,21,16,11,190
27020190,PM,Yarumal,Yarumal,Antioquia,2400,"75°24'56.0""W","6°57'21.5""N",61.8,79.7,113.5,263.1,347.8,291.4,316.7,290.7,287.4,326.5,226.6,107.9,2713.1,6,7,10,17,22,19,19,18,19,20,16,10,184
23100040,PM,Yolombo,Yolombo,Antioquia,1414,"75°0'39.3""W","6°35'39.4""N",71.1,100.1,159.3,281.9,336.9,244.5,224.3,288.7,345.9,367.5,243.3,105.2,2768.6,5,8,10,15,16,13,13,15,17,17,13,8,150
23100070,PM,Ramblas,Yondo,Antioquia,120,"74°22'15.0""W","6°38'34.0""N",29.1,66.4,146.4,242.3,299.3,216.9,232.3,256,329.5,312.3,195.4,94.1,2420,3,5,8,11,13,11,11,11,15,13,11,7,119
23100080,PG,Sta Clara,Yondo,Antioquia,100,"74°19'0.0""W","6°39'0.0""N",91.6,109.2,187.3,343.6,376.9,253,250.1,308.5,427.1,373.7,282.8,144.7,3148.7,,,,,,,,,,,,,0
23160010,PM,Yondo,Yondo,Antioquia,140,"73°56'39.0""W","7°5'22.0""N",29.5,73,180.4,271.4,359.3,261.9,239.1,323.7,388.5,360.2,273.4,125.9,2886.4,2,4,7,10,11,9,8,11,12,13,10,5,101
27040020,PM,Alto del Indio,Zaragoza,Antioquia,125,"74°57'9.9""W","7°31'51.6""N",71,103.7,130,350.2,513.4,443.9,444.9,477.5,446.6,514.1,386.1,154.1,4035.4,5,6,7,14,18,16,16,17,16,18,15,9,157
27030090,PM,Bosque El,Zaragoza,Antioquia,220,"74°50'21.6""W","7°19'9.5""N",125.9,135.4,171.3,393.6,520.7,482.1,463.4,486,521.7,531.1,467.2,304.8,4603.3,7,7,8,14,18,16,16,18,18,19,17,11,170
27030210,PM,Zaragoza,Zaragoza,Antioquia,50,"74°52'20.6""W","7°29'10.4""N",355.2,402.8,272.4,301.4,360.8,407.6,368.3,372.5,436.2,322.6,394.6,396.2,4390.6,5,5,7,12,16,15,15,16,15,17,16,9,150
37055010,SP,Apto Arauca,Arauca,Arauca,128,"70°44'17.0""W","7°4'10.0""N",11.9,23.8,50.6,147.2,267.5,304.7,309.6,224.7,187.1,200.1,109.7,30.8,1867.7,2,3,5,13,19,22,22,20,17,14,10,5,151
37050040,PM,Matezamuro,Arauca,Arauca,150,"70°51'6.0""W","6°58'27.0""N",14.5,20.6,36.7,120.6,225,294.8,268.4,193.5,146.8,156.4,89.8,19.8,1586.8,1,1,2,6,10,12,13,10,7,7,5,2,75
37050050,PM,Villanueva,Arauca,Arauca,100,"70°15'56.0""W","6°56'25.0""N",14.3,34.2,47.3,166,247.3,294.2,300.7,234.7,210,168.1,82.1,21.8,1820.5,1,2,3,7,10,13,13,12,10,7,4,2,83
37050010,PM,Arauquita,Arauquita,Arauca,100,"71°25'11.0""W","7°2'14.0""N",30.6,40.9,73,156.3,253.8,336.6,267.4,222,208.7,218.8,147.6,63.1,2018.9,2,2,4,9,13,17,15,13,10,11,9,4,110
36030020,PM,Paraiso El,Cravo Norte,Arauca,87,"69°38'19.5""W","6°2'30.4""N",17.9,20.8,61,188.9,318.4,403.9,410,279.4,266.5,256.9,146,41.6,2411.3,1,2,4,10,17,19,19,16,15,12,8,3,125
37045010,CO,Saravena,Saravena,Arauca,148,"71°53'26.0""W","6°56'47.0""N",44.4,79.8,109.2,253.4,397.3,420.6,361.2,335.8,297.6,338.5,200.6,115.6,2954,6,8,11,17,20,23,23,21,18,18,15,10,190
36030030,PM,Morichal,Tame,Arauca,300,"71°42'27.5""W","6°34'14.3""N",45.1,88.3,118.9,260.2,404.9,430.3,394.1,353.1,321.3,340.4,217.4,78.3,3052.5,4,3,6,11,14,16,15,14,13,12,8,4,120
36020030,PM,Sta Ines,Tame,Arauca,860,"71°58'33.5""W","6°14'7.8""N",30.5,47.4,104.4,262.4,422.4,366.2,372.2,312.5,338,352.3,235.1,56.4,2899.7,3,3,7,13,18,17,18,17,16,16,12,4,143
36025010,CO,Tame,Tame,Arauca,350,"71°44'42.1""W","6°27'22.3""N",28.3,36.9,69.7,187.2,289.7,303.7,294.4,247.1,211,205.5,110.2,32.3,2016,3,4,6,13,16,17,16,15,12,13,8,4,127
29040020,PM,Montebello,Baranoa,Atlantico,100,"74°54'28.2""W","10°42'30.6""N",6.4,8.7,20,88,138.1,133.2,129.8,175.4,171.5,149.4,112.7,35.6,1168.8,0,1,2,5,9,8,7,10,10,11,8,3,73
29045120,CP,Flores Las,Barranquilla,Atlantico,2,"74°49'25.0""W","11°2'34.0""N",0.8,1.3,1.3,11.7,95.6,72,44.1,86.9,135.7,167.1,98.6,35.1,750.1,0,0,1,2,7,6,5,7,10,13,7,2,60
29040250,PM,Campo de la Cruz,Campo de la Cruz,Atlantico,4,"74°53'18.0""W","10°22'35.8""N",8.6,9.4,24.1,71.7,127.1,116,116,106.7,131.9,158.1,89.3,25.8,985,1,1,2,6,10,9,9,10,11,12,7,3,81
29040260,PM,Candelaria,Candelaria,Atlantico,4,"74°53'12.8""W","10°27'18.4""N",12.9,11.1,31.9,124.6,177.9,125.2,127.3,190.9,182.8,202,110.5,50.2,1347.2,1,1,1,4,6,4,4,6,6,7,4,2,46
29040200,PM,Lena,Candelaria,Atlantico,45,"74°53'26.8""W","10°31'18.2""N",6.3,15.1,24.8,93.6,146.8,112.9,106.2,130,161.5,159.7,96.6,40.4,1093.9,1,1,1,4,6,5,5,6,7,8,5,2,50
29045110,CO,Juan de Acosta,Juan de Acosta,Atlantico,20,"75°2'56.2""W","10°50'47.5""N",0.9,0.7,1.6,39.4,92.1,125.4,107.6,132.4,167.4,195.5,130.3,34.3,1027.7,0,0,1,5,11,11,10,12,14,14,10,3,89
29030140,PM,San Jose,Luruaco,Atlantico,20,"75°6'30.2""W","10°36'22.4""N",7.7,3.6,18.9,64.1,152.9,106.1,84.9,127.9,159.8,181.8,160.2,46,1113.7,1,1,2,5,10,8,7,10,11,13,8,3,79
29035080,CP,Normal Manati,Manati,Atlantico,10,"74°57'16.7""W","10°27'12.9""N",12,16.7,23.7,86.8,157.7,125.3,99.1,138.1,143.8,151.8,96.5,32.9,1084.3,1,1,3,8,12,10,9,12,12,12,8,4,92
14010020,PM,Hibacharo,Piojo,Atlantico,80,"75°8'24.4""W","10°43'18.8""N",3.9,2.1,9.8,53.2,143.8,126.2,101.6,128.5,169.5,239.2,130.7,37.9,1146.6,0,0,1,3,7,6,5,7,8,10,6,2,56
14010010,PG,Piojo,Piojo,Atlantico,320,"75°6'28.7""W","10°44'46.0""N",2.4,2.3,11,57,124.3,117,116.2,125.3,187.7,234.8,164.7,41.9,1184.7,1,0,1,5,11,11,10,12,14,15,10,3,92
14010090,PM,Porvenir El,Piojo,Atlantico,40,"75°9'44.2""W","10°42'36.8""N",2.2,4.2,9.4,56.8,159.5,142.6,123,134.7,142.7,236.9,146.3,45.4,1203.8,0,0,1,4,8,8,6,8,9,11,7,3,65
29040080,PM,Polonuevo,Polonuevo,Atlantico,80,"74°51'28.5""W","10°46'44.4""N",10.5,3.5,14,73.5,154,126,134.3,145.6,159.7,204,127.7,27.8,1180.9,1,0,1,4,9,7,6,8,9,10,6,2,63
