CODIGO,CAT,NOMBRE,MUNICIPIO,DEPARTAMENTO,ELEV,LONGITUD,LATITUD,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC,ANUAL
26215010,CO,Concordia,Concordia,Antioquia,1904,"75°55'11.0""W","6°2'23.0""N",81,80,80,82,83,82,79,79,82,83,85,84,82
26175040,CO,Tunez Hda,Fredonia,Antioquia,530,"75°39'3.5""W","5°48'0.7""N",75,72,73,77,80,79,77,76,79,81,81,80,77
11115040,CO,Musinga,Frontino,Antioquia,1330,"76°11'27.0""W","6°47'13.0""N",86,86,86,87,88,88,87,88,88,87,88,87,87
26195030,CO,Jardin El,Jardin,Antioquia,2005,"75°48'2.0""W","5°35'15.8""N",84,84,84,86,87,86,84,84,86,86,88,86,85
26195010,CO,Miguel Valencia,Jardin,Antioquia,1570,"75°51'0.0""W","5°32'0.0""N",78,77,77,79,81,79,78,78,80,81,80,79,79
26185020,CO,Mesopotamia,La Union,Antioquia,2314,"75°19'7.1""W","5°53'10.9""N",87,87,87,88,87,85,84,83,86,87,88,88,86
27015070,SP,A.Olaya Herrera,Medellin,Antioquia,1490,"75°35'20.3""W","6°13'14.2""N",66,65,67,70,70,66,63,63,67,71,72,70,67
12015010,CO,Villarteaga,Mutata,Antioquia,132,"76°29'0.0""W","7°21'0.0""N",87,87,86,88,88,88,88,88,88,89,89,88,88
12025030,CO,Mellito El,Necocli,Antioquia,10,"76°40'21.2""W","8°32'34.6""N",86,84,84,85,87,87,87,87,87,87,87,87,86
23085110,CO,Penol El,Penol,Antioquia,1956,"75°14'28.8""W","6°12'51.3""N",86,86,86,87,86,83,82,83,85,86,87,87,86
23095010,CP,Apto Pto Berrio,Puerto Berrio,Antioquia,150,"74°24'44.0""W","6°27'54.0""N",77,76,78,81,81,80,79,79,80,81,81,80,79
23175020,SS,Apto Otu,Remedios,Antioquia,718,"74°42'58.6""W","7°0'42.1""N",85,85,86,86,85,85,84,84,86,86,86,86,85
23085200,SP,A.J M Cordova,Rionegro,Antioquia,2073,"75°25'33.0""W","6°10'7.0""N",80,80,80,82,81,78,76,76,78,82,83,82,80
23085040,AM,Selva La,Rionegro,Antioquia,2090,"75°24'53.0""W","6°7'54.0""N",80,80,80,81,81,79,78,78,79,81,81,81,80
23085220,CP,San Carlos,San Carlos,Antioquia,1113,"75°2'20.1""W","6°9'27.6""N",86,85,85,86,85,82,80,80,84,86,88,88,85
23085140,CO,San Francisco,San Francisco,Antioquia,1306,"75°6'2.8""W","5°57'49.2""N",89,89,89,89,89,89,88,88,90,90,90,90,89
23085210,CP,Violetas Las,San Rafael,Antioquia,1016,"75°0'10.0""W","6°20'56.0""N",86,85,86,86,86,85,84,84,85,87,88,87,86
23085080,CP,Nus Gja Exp El,San Roque,Antioquia,835,"74°50'12.0""W","6°29'9.0""N",82,80,81,84,85,83,81,80,83,85,86,85,83
23085160,CO,Corrientes,San Vicente,Antioquia,1950,"75°15'12.7""W","6°18'42.8""N",83,83,85,86,84,82,80,80,82,84,85,85,83
27015110,CO,Aragon,Santa Rosa de Osos,Antioquia,2600,"75°49'37.2""W","6°32'2.4""N",86,87,87,87,87,86,85,85,86,87,88,87,87
26225030,AM,Cotove Hda,Santafe de Antioquia,Antioquia,530,"75°49'38.6""W","6°32'2.1""N",68,66,68,74,78,79,77,75,77,80,79,75,75
27015190,CO,Guayabito,Santo Domingo,Antioquia,1700,"75°8'49.0""W","6°32'27.0""N",84,83,83,85,86,84,82,82,85,86,86,86,84
23075010,CP,Rio Claro,Sonson,Antioquia,449,"74°50'54.1""W","5°51'19.9""N",81,80,81,82,81,80,75,75,79,82,84,83,81
26175030,CP,Nacional Gja La,Tamesis,Antioquia,1151,"75°41'39.4""W","5°43'12.6""N",81,79,80,83,86,85,82,81,83,86,86,85,83
26235030,CO,Matanzas,Toledo,Antioquia,500,"75°39'57.1""W","7°2'8.9""N",71,67,70,76,81,83,82,82,83,83,82,78,78
12025040,CO,Turbo,Turbo,Antioquia,37,"76°42'58.8""W","8°5'30.5""N",86,85,85,86,88,87,86,87,86,87,87,87,87
11075010,CO,Honda La,Urrao,Antioquia,1850,"76°9'29.0""W","6°21'23.0""N",91,91,91,91,91,91,91,91,92,92,91,92,91
11075020,CO,Urrao,Urrao,Antioquia,1850,"76°8'23.5""W","6°19'29.8""N",88,88,88,88,88,88,88,87,89,89,89,89,88
26255020,CP,Sta Isabel,Valdivia,Antioquia,1200,"75°26'32.2""W","7°9'26.2""N",89,89,89,90,90,90,89,89,89,90,91,90,90
23105030,CO,Vegachi,Vegachi,Antioquia,995,"74°47'47.7""W","6°46'26.8""N",87,86,87,88,88,87,86,86,87,89,90,89,87
26205020,CP,Rosario El,Venecia,Antioquia,1600,"75°43'0.0""W","5°56'0.0""N",72,70,69,76,78,74,69,70,75,80,80,76,74
37055010,SP,Apto Arauca,Arauca,Arauca,128,"70°44'17.0""W","7°4'10.0""N",71,66,66,76,84,87,87,86,85,85,84,79,80
37045010,CO,Saravena,Saravena,Arauca,148,"71°53'26.0""W","6°56'47.0""N",79,79,79,83,85,87,86,86,85,84,83,83,84
36025010,CO,Tame,Tame,Arauca,350,"71°44'42.1""W","6°27'22.3""N",80,81,80,83,84,85,86,86,86,85,84,83,83
29045120,CP,Flores Las,Barranquilla,Atlantico,2,"74°49'25.0""W","11°2'34.0""N",82,82,82,83,83,83,83,83,83,83,83,82,83
29045110,CO,Juan de Acosta,Juan de Acosta,Atlantico,20,"75°2'56.2""W","10°50'47.5""N",80,79,79,79,82,83,82,83,85,86,85,81,82
29035080,CP,Normal Manati,Manati,Atlantico,10,"74°57'16.7""W","10°27'12.9""N",81,80,79,80,82,82,82,82,83,84,84,82,82
29035070,CP,Repelon,Repelon,Atlantico,10,"75°7'9.0""W","10°30'1.0""N",72,70,70,72,78,78,77,79,81,82,81,75,76
29045020,SP,A.E Cortissoz,Soledad,Atlantico,14,"74°46'47.2""W","10°53'0.01""N",79,78,77,79,81,82,81,82,84,86,84,81,81
21205790,SP,Apto El Dorado,Bogota DC,Bogota DC,2547,"74°9'2.4""W","4°42'20.1""N",79,79,81,82,82,79,78,77,79,83,83,81,80
21206260,CO,C.Univ.Agrop-Udca,Bogota DC,Bogota DC,2570,"74°2'59.0""W","4°47'55.1""N",89,90,91,91,92,91,90,90,90,91,91,89,90
21205520,CP,Eldorado Didactica,Bogota DC,Bogota DC,2546,"74°9'0.0""W","4°42'0.0""N",77,78,79,81,80,76,75,77,78,81,82,80,79
21206050,CP,Esc Col Ingenieria,Bogota DC,Bogota DC,2650,"74°2'44.0""W","4°47'18.0""N",78,77,80,81,81,81,80,80,79,81,81,80,80
21205710,CO,Jardin Botanico,Bogota DC,Bogota DC,2552,"74°6'9.6""W","4°40'9.6""N",83,84,85,85,85,83,82,82,83,86,85,86,84
35025070,CO,Taques Los,Bogota DC,Bogota DC,3150,"74°11'27.4""W","4°11'48.0""N",93,93,93,94,95,95,95,95,95,94,93,93,94
21206220,CP,Univ Nacional,Bogota DC,Bogota DC,2556,"74°5'20.7""W","4°38'17.1""N",76,78,79,79,78,76,75,75,77,77,80,78,78
21206230,CO,Vegas Las Hda,Bogota DC,Bogota DC,2543,"74°9'5.11""W","4°39'42.0""N",85,85,85,85,85,86,86,85,85,85,86,85,85
21205580,CO,Venado Oro Vivero,Bogota DC,Bogota DC,2725,"74°3'41.6""W","4°35'54.1""N",80,80,81,82,83,82,82,81,80,82,83,81,81
29035170,CP,Sincerin,Arjona,Bolivar,10,"75°16'41.8""W","10°8'33.3""N",81,80,81,82,84,84,84,84,85,87,85,84,83
14015020,SP,Apto Rafael Nunez,Cartagena,Bolivar,2,"75°30'57.7""W","10°26'50.1""N",81,79,80,81,82,82,81,82,82,83,83,82,81
14015030,CP,Esc Naval Cioh,Cartagena,Bolivar,1,"75°32'9.0""W","10°23'23.0""N",82,81,82,83,85,84,84,85,85,86,86,85,84
29015020,AM,Carmen de Bolivar,El Carmen de Bolivar,Bolivar,152,"75°6'23.1""W","9°42'56.7""N",73,71,72,74,77,76,75,76,79,80,79,76,76
29015030,CO,Guamo El,El Guamo,Bolivar,75,"74°58'23.6""W","10°2'14.0""N",71,69,70,74,79,80,78,79,81,84,82,77,77
25025100,CP,Apto Baracoa,Magangue,Bolivar,18,"74°50'43.0""W","9°16'55.0""N",76,74,74,75,80,81,80,81,83,84,84,80,79
