CODIGO,CAT,NOMBRE,MUNICIPIO,DEPARTAMENTO,ELEV,LONGITUD,LATITUD,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC,ANUAL
22025010,CP,Apto Planadas,Planadas,Tolima,1355,"75°40'0.0""W","3°10'0.0""N",4.7,4.2,3.9,3.6,4.0,4.1,3.9,4.3,4.0,3.1,4.0,5.0,4.1
21165010,CO,Pst de Monta,Prado,Tolima,349,"74°55'1.0""W","3°47'15.5""N",6.5,5.8,4.8,4.6,4.8,5.4,5.8,5.9,5.4,5.7,5.7,6.0,5.6
21165030,CO,Lozania,Purificacion,Tolima,400,"74°46'24.3""W","3°53'46.4""N",6.2,5.5,4.5,4.0,4.5,4.9,5.4,5.2,4.8,4.9,5.3,5.9,5.1
22055030,CO,Sta Helena,Purificacion,Tolima,300,"74°53'55.7""W","3°59'9.8""N",4.1,3.8,3.3,3.3,4.0,5.6,5.9,6.2,5.3,3.6,3.5,3.9,4.4
21135020,CO,Jabalcon,Saldana,Tolima,425,"75°0'56.6""W","3°51'20.8""N",6.7,5.9,5.1,4.9,5.0,5.3,5.8,5.9,5.7,5.8,5.8,6.3,5.7
22065040,CO,San Antonio Quinta,San Antonio,Tolima,1500,"75°29'16.9""W","3°54'24.9""N",5.5,5.0,4.4,4.2,4.8,4.9,5.1,5.2,5.0,4.9,4.5,5.4,4.9
23025040,CO,Albania,San Sebastian de Mariquita,Tolima,500,"74°54'57.0""W","5°17'51.0""N",5.7,5.4,4.5,4.9,5.1,5.8,6.3,6.4,5.8,5.5,5.0,5.1,5.5
21255120,CO,Villahermosa,Villahermosa,Tolima,2029,"75°7'2.0""W","5°1'36.0""N",4.3,3.8,3.7,3.6,4.3,5.5,6.0,6.0,5.1,4.1,3.5,4.1,4.5
54035020,CO,Argelia El Recreo,Argelia,Valle del Cauca,1600,"76°7'0.0""W","4°44'0.0""N",4.0,3.9,3.7,3.7,3.7,4.2,5.2,5.2,4.2,3.4,3.5,3.6,4.0
53115010,SP,Apto Buenaventura,Buenaventura,Valle del Cauca,14,"76°59'32.4""W","3°49'12.7""N",2.8,3.1,3.1,3.5,3.2,3.3,3.7,4.0,3.1,3.2,2.9,2.8,3.2
54075020,CO,Bajo Calima,Buenaventura,Valle del Cauca,50,"76°59'24.9""W","3°57'13.0""N",2.9,2.8,2.5,2.7,2.6,2.5,2.8,2.7,2.3,2.3,2.5,2.7,2.6
53115020,CP,Colpuertos,Buenaventura,Valle del Cauca,10,"77°4'0.0""W","3°53'0.0""N",3.9,4.0,3.8,3.8,3.8,3.9,4.4,4.1,3.7,3.6,3.6,3.6,3.8
54075040,CO,Mision La,Buenaventura,Valle del Cauca,5,"77°16'34.7""W","4°13'21.1""N",2.5,2.8,2.7,2.8,2.6,2.5,2.7,2.8,2.2,2.3,2.1,2.2,2.5
26055070,CP,Univ del Valle,Cali,Valle del Cauca,985,"76°32'1.6""W","3°22'40.8""N",5.4,5.2,5.0,4.6,4.6,5.2,6.0,6.0,5.1,4.5,4.5,4.8,5.1
26095080,CO,Tenerife,El Cerrito,Valle del Cauca,2609,"76°4'29.4""W","3°43'47.8""N",5.0,4.4,3.9,3.2,3.4,4.1,4.5,4.5,4.0,3.5,3.3,4.1,4.0
26075080,AM,Cenicana,Florida,Valle del Cauca,1013,"76°17'57.9""W","3°21'38.6""N",5.8,5.4,5.1,4.6,4.4,5.1,5.5,5.7,5.0,5.1,4.7,5.3,5.1
26095230,AM,Vinculo El,Guadalajara de Buga,Valle del Cauca,979,"76°17'58.3""W","3°50'6.7""N",5.7,5.6,5.1,4.5,4.5,5.1,5.8,5.6,4.8,4.8,4.8,5.2,5.1
26115040,CP,Cent Admo La Union,La Union,Valle del Cauca,920,"76°3'43.8""W","4°31'52.6""N",4.9,4.8,4.9,4.3,4.4,4.6,5.9,5.9,4.9,4.4,4.4,4.5,4.8
26075040,SP,Apto A Bonilla,Palmira,Valle del Cauca,961,"76°23'8.1""W","3°32'0.0""N",5.8,5.6,5.2,4.7,4.6,5.0,5.9,6.1,5.3,5.0,5.1,5.3,5.3
